class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season;is_fragile
p;12.25;x;g;n;f;e;c;w;7.19;5.55;s;y;w;u;w;t;p;k;d;a;f
p;15.63;x;g;n;f;e;c;w;7.95;6.63;s;y;w;u;w;t;p;k;d;a;f
p;16.88;x;g;n;f;e;c;w;7.8;6.83;s;y;w;u;w;t;p;k;d;u;f
p;13.85;p;g;n;f;e;c;w;7.86;6.3;s;y;w;u;w;t;p;k;d;a;f
p;13.76;x;g;n;f;e;c;w;8.82;7.84;s;y;w;u;w;t;p;k;d;u;f
p;14.74;x;g;n;f;e;c;w;8.29;7.33;s;y;w;u;w;t;p;k;d;u;f
p;13.83;x;g;n;f;e;c;w;8.5;6.69;s;y;w;u;w;t;p;k;d;a;f
p;15.37;x;g;n;f;e;c;w;8.07;7.98;s;y;w;u;w;t;p;k;d;u;f
p;13.03;x;g;n;f;e;c;w;7.83;6.85;s;y;w;u;w;t;p;k;d;u;f
p;15.59;p;g;n;f;e;c;w;8.58;7.44;s;y;w;u;w;t;p;k;d;a;f
p;17.2;x;g;n;f;e;c;w;7.24;7.19;s;y;w;u;w;t;p;k;d;a;f
p;18.08;x;g;n;f;e;c;w;8.82;7.07;s;y;w;u;w;t;p;k;d;a;f
p;14.57;x;g;n;f;e;c;w;8.12;7.81;s;y;w;u;w;t;p;k;d;a;f
p;14.72;x;g;n;f;e;c;w;7.71;6.08;s;y;w;u;w;t;p;k;d;a;f
p;14.45;x;g;n;f;e;c;w;8.81;8.01;s;y;w;u;w;t;p;k;d;a;f
p;15.87;p;g;n;f;e;c;w;8.88;7.5;s;y;w;u;w;t;p;k;d;u;f
p;16.31;x;g;n;f;e;c;w;9.3;8.47;s;y;w;u;w;t;p;k;d;u;f
p;12.19;x;g;n;f;e;c;w;6.36;6.01;s;y;w;u;w;t;p;k;d;a;f
p;15.86;p;g;n;f;e;c;w;8.3;7.53;s;y;w;u;w;t;p;k;d;u;f
p;15.52;p;g;n;f;e;c;w;8.19;7.62;s;y;w;u;w;t;p;k;d;u;f
p;14.28;p;g;n;f;e;c;w;7.98;6.18;s;y;w;u;w;t;p;k;d;u;f
p;15.35;p;g;n;f;e;c;w;9.1;6.67;s;y;w;u;w;t;p;k;d;a;f
p;10.48;x;g;n;f;e;c;w;7.23;5.61;s;y;w;u;w;t;p;k;d;a;f
p;14.49;x;g;n;f;e;c;w;8.08;7.87;s;y;w;u;w;t;p;k;d;a;f
p;16.68;p;g;n;f;e;c;w;8.65;6.37;s;y;w;u;w;t;p;k;d;u;f
p;14.21;p;g;n;f;e;c;w;6.99;6.25;s;y;w;u;w;t;p;k;d;u;f
p;12.94;x;g;n;f;e;c;w;7.24;6.8;s;y;w;u;w;t;p;k;d;a;f
p;14.96;x;g;n;f;e;c;w;7.09;6.71;s;y;w;u;w;t;p;k;d;a;f
p;15.38;x;g;n;f;e;c;w;8.38;8.16;s;y;w;u;w;t;p;k;d;a;f
p;12.43;x;g;n;f;e;c;w;7.29;6.52;s;y;w;u;w;t;p;k;d;u;f
p;14.08;p;g;n;f;e;c;w;6.83;5.73;s;y;w;u;w;t;p;k;d;a;f
p;13.89;x;g;n;f;e;c;w;8.03;7.82;s;y;w;u;w;t;p;k;d;u;f
p;14.58;x;g;n;f;e;c;w;8.25;7.05;s;y;w;u;w;t;p;k;d;a;f
p;16.28;p;g;n;f;e;c;w;9.0;8.79;s;y;w;u;w;t;p;k;d;u;f
p;13.26;p;g;n;f;e;c;w;8.0;7.97;s;y;w;u;w;t;p;k;d;u;f
p;14.67;x;g;n;f;e;c;w;8.56;7.45;s;y;w;u;w;t;p;k;d;u;f
p;13.41;p;g;n;f;e;c;w;8.18;6.27;s;y;w;u;w;t;p;k;d;a;f
p;12.98;p;g;n;f;e;c;w;8.33;7.38;s;y;w;u;w;t;p;k;d;a;f
p;15.3;p;g;n;f;e;c;w;7.75;7.02;s;y;w;u;w;t;p;k;d;a;f
p;13.54;p;g;n;f;e;c;w;7.46;6.9;s;y;w;u;w;t;p;k;d;u;f
p;15.3;p;g;n;f;e;c;w;8.01;7.22;s;y;w;u;w;t;p;k;d;a;f
p;13.84;x;g;n;f;e;c;w;7.85;7.67;s;y;w;u;w;t;p;k;d;a;f
p;16.02;x;g;n;f;e;c;w;7.92;7.83;s;y;w;u;w;t;p;k;d;u;f
p;14.06;x;g;n;f;e;c;w;7.53;6.11;s;y;w;u;w;t;p;k;d;a;f
p;14.7;p;g;n;f;e;c;w;7.81;7.8;s;y;w;u;w;t;p;k;d;u;f
p;15.21;x;g;n;f;e;c;w;8.28;6.59;s;y;w;u;w;t;p;k;d;u;f
p;12.09;x;g;n;f;e;c;w;8.58;6.59;s;y;w;u;w;t;p;k;d;u;f
p;16.85;p;g;n;f;e;c;w;8.87;8.66;s;y;w;u;w;t;p;k;d;u;f
p;18.02;x;g;n;f;e;c;w;8.57;7.9;s;y;w;u;w;t;p;k;d;u;f
p;14.25;x;g;n;f;e;c;w;7.4;6.69;s;y;w;u;w;t;p;k;d;u;f
p;15.76;x;g;n;f;e;c;w;8.89;7.58;s;y;w;u;w;t;p;k;d;a;f
p;15.87;p;g;n;f;e;c;w;8.41;7.22;s;y;w;u;w;t;p;k;d;u;f
p;14.66;x;g;n;f;e;c;w;7.37;7.22;s;y;w;u;w;t;p;k;d;u;f
p;13.72;x;g;n;f;e;c;w;7.76;7.37;s;y;w;u;w;t;p;k;d;a;f
p;15.62;p;g;n;f;e;c;w;7.71;6.84;s;y;w;u;w;t;p;k;d;a;f
p;18.0;p;g;n;f;e;c;w;9.6;7.7;s;y;w;u;w;t;p;k;d;a;f
p;18.81;p;g;n;f;e;c;w;9.14;9.13;s;y;w;u;w;t;p;k;d;u;f
p;15.9;p;g;n;f;e;c;w;9.24;7.94;s;y;w;u;w;t;p;k;d;a;f
p;13.26;x;g;n;f;e;c;w;7.38;6.37;s;y;w;u;w;t;p;k;d;u;f
p;15.42;x;g;n;f;e;c;w;8.54;7.25;s;y;w;u;w;t;p;k;d;a;f
p;13.89;p;g;n;f;e;c;w;8.28;8.03;s;y;w;u;w;t;p;k;d;a;f
p;15.97;x;g;n;f;e;c;w;7.54;7.18;s;y;w;u;w;t;p;k;d;u;f
p;10.99;p;g;n;f;e;c;w;6.28;5.5;s;y;w;u;w;t;p;k;d;a;f
p;12.09;p;g;n;f;e;c;w;7.22;7.0;s;y;w;u;w;t;p;k;d;u;f
p;14.66;x;g;n;f;e;c;w;7.27;6.4;s;y;w;u;w;t;p;k;d;a;f
p;12.73;p;g;n;f;e;c;w;8.54;7.34;s;y;w;u;w;t;p;k;d;u;f
p;14.26;p;g;n;f;e;c;w;8.19;8.18;s;y;w;u;w;t;p;k;d;u;f
p;15.84;p;g;n;f;e;c;w;8.41;8.35;s;y;w;u;w;t;p;k;d;u;f
p;14.89;x;g;n;f;e;c;w;8.25;7.43;s;y;w;u;w;t;p;k;d;a;f
p;12.64;p;g;n;f;e;c;w;7.86;7.59;s;y;w;u;w;t;p;k;d;a;f
p;18.21;p;g;n;f;e;c;w;8.63;7.52;s;y;w;u;w;t;p;k;d;a;f
p;13.67;p;g;n;f;e;c;w;8.1;8.07;s;y;w;u;w;t;p;k;d;u;f
p;14.17;x;g;n;f;e;c;w;7.31;6.87;s;y;w;u;w;t;p;k;d;a;f
p;16.1;x;g;n;f;e;c;w;8.16;6.91;s;y;w;u;w;t;p;k;d;u;f
p;15.87;x;g;n;f;e;c;w;8.0;7.58;s;y;w;u;w;t;p;k;d;a;f
p;16.35;p;g;n;f;e;c;w;8.75;8.48;s;y;w;u;w;t;p;k;d;u;f
p;15.54;p;g;n;f;e;c;w;9.1;7.47;s;y;w;u;w;t;p;k;d;a;f
p;17.12;p;g;n;f;e;c;w;8.98;7.72;s;y;w;u;w;t;p;k;d;u;f
p;13.69;p;g;n;f;e;c;w;7.56;6.29;s;y;w;u;w;t;p;k;d;u;f
p;14.83;x;g;n;f;e;c;w;8.56;7.24;s;y;w;u;w;t;p;k;d;u;f
p;16.31;p;g;n;f;e;c;w;8.5;8.2;s;y;w;u;w;t;p;k;d;a;f
p;16.05;p;g;n;f;e;c;w;8.59;7.53;s;y;w;u;w;t;p;k;d;a;f
p;16.23;p;g;n;f;e;c;w;8.36;7.43;s;y;w;u;w;t;p;k;d;u;f
p;13.4;x;g;n;f;e;c;w;7.86;7.4;s;y;w;u;w;t;p;k;d;u;f
p;20.18;x;g;n;f;e;c;w;10.09;9.89;s;y;w;u;w;t;p;k;d;u;f
p;15.72;p;g;n;f;e;c;w;8.61;8.45;s;y;w;u;w;t;p;k;d;u;f
p;15.23;x;g;n;f;e;c;w;7.4;7.17;s;y;w;u;w;t;p;k;d;u;f
p;14.57;x;g;n;f;e;c;w;7.84;7.08;s;y;w;u;w;t;p;k;d;u;f
p;13.75;x;g;n;f;e;c;w;7.84;6.57;s;y;w;u;w;t;p;k;d;a;f
p;14.9;x;g;n;f;e;c;w;7.7;7.65;s;y;w;u;w;t;p;k;d;u;f
p;14.11;x;g;n;f;e;c;w;8.12;7.21;s;y;w;u;w;t;p;k;d;a;f
p;15.88;p;g;n;f;e;c;w;8.84;7.83;s;y;w;u;w;t;p;k;d;u;f
p;16.13;x;g;n;f;e;c;w;7.79;7.53;s;y;w;u;w;t;p;k;d;a;f
p;14.43;p;g;n;f;e;c;w;7.93;7.78;s;y;w;u;w;t;p;k;d;u;f
p;14.61;x;g;n;f;e;c;w;7.93;7.58;s;y;w;u;w;t;p;k;d;a;f
p;16.83;x;g;n;f;e;c;w;8.7;8.62;s;y;w;u;w;t;p;k;d;u;f
p;12.91;p;g;n;f;e;c;w;7.71;7.09;s;y;w;u;w;t;p;k;d;u;f
p;18.48;x;g;n;f;e;c;w;8.79;8.35;s;y;w;u;w;t;p;k;d;u;f
p;13.62;x;g;n;f;e;c;w;7.45;6.15;s;y;w;u;w;t;p;k;d;a;f
p;11.9;p;g;n;f;e;c;w;6.99;6.06;s;y;w;u;w;t;p;k;d;a;f
p;15.55;p;g;n;f;e;c;w;8.65;7.69;s;y;w;u;w;t;p;k;d;u;f
p;18.11;x;g;n;f;e;c;w;9.18;6.92;s;y;w;u;w;t;p;k;d;a;f
p;14.32;x;g;n;f;e;c;w;7.67;7.3;s;y;w;u;w;t;p;k;d;a;f
p;13.65;p;g;n;f;e;c;w;7.47;6.79;s;y;w;u;w;t;p;k;d;u;f
p;16.22;x;g;n;f;e;c;w;8.87;6.83;s;y;w;u;w;t;p;k;d;u;f
p;14.68;x;g;n;f;e;c;w;8.43;6.38;s;y;w;u;w;t;p;k;d;a;f
p;13.59;x;g;n;f;e;c;w;7.13;6.93;s;y;w;u;w;t;p;k;d;a;f
p;13.22;x;g;n;f;e;c;w;7.71;7.47;s;y;w;u;w;t;p;k;d;u;f
p;17.4;x;g;n;f;e;c;w;8.61;8.43;s;y;w;u;w;t;p;k;d;a;f
p;16.56;p;g;n;f;e;c;w;8.74;7.25;s;y;w;u;w;t;p;k;d;u;f
p;16.29;x;g;n;f;e;c;w;8.22;7.7;s;y;w;u;w;t;p;k;d;u;f
p;13.22;p;g;n;f;e;c;w;7.83;7.78;s;y;w;u;w;t;p;k;d;a;f
p;16.71;p;g;n;f;e;c;w;8.8;7.75;s;y;w;u;w;t;p;k;d;a;f
p;20.04;p;g;n;f;e;c;w;9.75;8.94;s;y;w;u;w;t;p;k;d;a;f
p;15.82;x;g;n;f;e;c;w;7.75;6.34;s;y;w;u;w;t;p;k;d;a;f
p;11.62;x;g;n;f;e;c;w;6.96;5.85;s;y;w;u;w;t;p;k;d;u;f
p;14.53;x;g;n;f;e;c;w;7.54;7.37;s;y;w;u;w;t;p;k;d;u;f
p;18.23;x;g;n;f;e;c;w;8.48;6.96;s;y;w;u;w;t;p;k;d;a;f
p;15.26;x;g;n;f;e;c;w;8.09;8.0;s;y;w;u;w;t;p;k;d;u;f
p;17.4;p;g;n;f;e;c;w;8.76;7.94;s;y;w;u;w;t;p;k;d;u;f
p;16.0;x;g;n;f;e;c;w;8.34;7.42;s;y;w;u;w;t;p;k;d;a;f
p;14.02;p;g;n;f;e;c;w;7.42;6.71;s;y;w;u;w;t;p;k;d;u;f
p;13.12;p;g;n;f;e;c;w;7.17;7.13;s;y;w;u;w;t;p;k;d;a;f
p;16.06;p;g;n;f;e;c;w;8.33;7.59;s;y;w;u;w;t;p;k;d;a;f
p;15.56;x;g;n;f;e;c;w;8.66;7.24;s;y;w;u;w;t;p;k;d;u;f
p;17.02;x;g;n;f;e;c;w;8.7;8.67;s;y;w;u;w;t;p;k;d;a;f
p;16.23;x;g;n;f;e;c;w;8.36;7.66;s;y;w;u;w;t;p;k;d;a;f
p;14.82;p;g;n;f;e;c;w;8.14;7.46;s;y;w;u;w;t;p;k;d;a;f
p;16.31;p;g;n;f;e;c;w;7.82;7.42;s;y;w;u;w;t;p;k;d;u;f
p;15.84;x;g;n;f;e;c;w;8.08;8.01;s;y;w;u;w;t;p;k;d;u;f
p;11.56;p;g;n;f;e;c;w;7.71;7.19;s;y;w;u;w;t;p;k;d;a;f
p;16.61;p;g;n;f;e;c;w;8.19;7.94;s;y;w;u;w;t;p;k;d;u;f
p;15.8;x;g;n;f;e;c;w;8.66;8.53;s;y;w;u;w;t;p;k;d;u;f
p;14.3;x;g;n;f;e;c;w;7.97;7.82;s;y;w;u;w;t;p;k;d;a;f
p;15.77;p;g;n;f;e;c;w;7.46;7.18;s;y;w;u;w;t;p;k;d;u;f
p;14.63;x;g;n;f;e;c;w;8.12;6.91;s;y;w;u;w;t;p;k;d;u;f
p;18.08;p;g;n;f;e;c;w;9.26;7.69;s;y;w;u;w;t;p;k;d;a;f
p;13.81;x;g;n;f;e;c;w;7.66;7.39;s;y;w;u;w;t;p;k;d;a;f
p;16.12;p;g;n;f;e;c;w;8.66;8.05;s;y;w;u;w;t;p;k;d;u;f
p;12.84;x;g;n;f;e;c;w;7.63;6.26;s;y;w;u;w;t;p;k;d;u;f
p;14.74;p;g;n;f;e;c;w;7.94;7.17;s;y;w;u;w;t;p;k;d;a;f
p;14.48;p;g;n;f;e;c;w;8.06;7.52;s;y;w;u;w;t;p;k;d;a;f
p;16.14;p;g;n;f;e;c;w;7.76;7.56;s;y;w;u;w;t;p;k;d;u;f
p;17.47;p;g;n;f;e;c;w;8.43;8.16;s;y;w;u;w;t;p;k;d;a;f
p;13.03;x;g;n;f;e;c;w;6.84;6.43;s;y;w;u;w;t;p;k;d;u;f
p;13.43;p;g;n;f;e;c;w;7.97;7.35;s;y;w;u;w;t;p;k;d;a;f
p;17.22;p;g;n;f;e;c;w;9.49;8.54;s;y;w;u;w;t;p;k;d;u;f
p;14.96;x;g;n;f;e;c;w;7.31;6.05;s;y;w;u;w;t;p;k;d;a;f
p;16.65;p;g;n;f;e;c;w;8.84;8.12;s;y;w;u;w;t;p;k;d;u;f
p;13.51;p;g;n;f;e;c;w;6.37;6.29;s;y;w;u;w;t;p;k;d;a;f
p;14.71;p;g;n;f;e;c;w;9.15;8.16;s;y;w;u;w;t;p;k;d;u;f
p;15.42;x;g;n;f;e;c;w;7.08;6.59;s;y;w;u;w;t;p;k;d;u;f
p;17.96;p;g;n;f;e;c;w;8.73;7.38;s;y;w;u;w;t;p;k;d;a;f
p;15.11;x;g;n;f;e;c;w;7.94;7.61;s;y;w;u;w;t;p;k;d;a;f
p;17.08;x;g;n;f;e;c;w;9.06;8.11;s;y;w;u;w;t;p;k;d;u;f
p;12.94;x;g;n;f;e;c;w;7.31;6.75;s;y;w;u;w;t;p;k;d;a;f
p;13.65;p;g;n;f;e;c;w;8.19;7.42;s;y;w;u;w;t;p;k;d;u;f
p;16.44;x;g;n;f;e;c;w;8.32;7.86;s;y;w;u;w;t;p;k;d;a;f
p;16.77;x;g;n;f;e;c;w;8.78;8.03;s;y;w;u;w;t;p;k;d;a;f
p;17.14;x;g;n;f;e;c;w;9.13;8.38;s;y;w;u;w;t;p;k;d;u;f
p;15.42;p;g;n;f;e;c;w;8.12;6.44;s;y;w;u;w;t;p;k;d;u;f
p;11.91;p;g;n;f;e;c;w;7.33;7.11;s;y;w;u;w;t;p;k;d;u;f
p;14.95;p;g;n;f;e;c;w;8.22;7.97;s;y;w;u;w;t;p;k;d;a;f
p;18.96;x;g;n;f;e;c;w;8.93;7.13;s;y;w;u;w;t;p;k;d;u;f
p;11.31;x;g;n;f;e;c;w;7.02;6.7;s;y;w;u;w;t;p;k;d;u;f
p;14.85;x;g;n;f;e;c;w;8.6;7.39;s;y;w;u;w;t;p;k;d;u;f
p;15.0;x;g;n;f;e;c;w;8.36;8.22;s;y;w;u;w;t;p;k;d;u;f
p;12.72;x;g;n;f;e;c;w;7.12;6.49;s;y;w;u;w;t;p;k;d;u;f
p;13.7;p;g;n;f;e;c;w;7.52;6.88;s;y;w;u;w;t;p;k;d;u;f
p;15.49;p;g;n;f;e;c;w;9.07;7.77;s;y;w;u;w;t;p;k;d;a;f
p;14.52;p;g;n;f;e;c;w;7.7;7.23;s;y;w;u;w;t;p;k;d;a;f
p;15.14;p;g;n;f;e;c;w;6.93;6.14;s;y;w;u;w;t;p;k;d;a;f
p;14.29;p;g;n;f;e;c;w;8.26;7.52;s;y;w;u;w;t;p;k;d;u;f
p;15.99;x;g;n;f;e;c;w;8.88;8.65;s;y;w;u;w;t;p;k;d;u;f
p;13.24;x;g;n;f;e;c;w;8.44;6.77;s;y;w;u;w;t;p;k;d;u;f
p;14.45;x;g;n;f;e;c;w;7.86;7.62;s;y;w;u;w;t;p;k;d;a;f
p;15.25;x;g;n;f;e;c;w;7.21;6.8;s;y;w;u;w;t;p;k;d;u;f
p;14.99;p;g;n;f;e;c;w;7.92;7.39;s;y;w;u;w;t;p;k;d;a;f
p;15.26;x;g;n;f;e;c;w;8.67;8.04;s;y;w;u;w;t;p;k;d;u;f
p;14.95;p;g;n;f;e;c;w;7.81;7.78;s;y;w;u;w;t;p;k;d;a;f
p;14.4;x;g;n;f;e;c;w;8.11;7.12;s;y;w;u;w;t;p;k;d;u;f
p;17.38;p;g;n;f;e;c;w;8.84;8.69;s;y;w;u;w;t;p;k;d;u;f
p;15.77;p;g;n;f;e;c;w;8.33;7.24;s;y;w;u;w;t;p;k;d;u;f
p;15.61;p;g;n;f;e;c;w;8.61;8.45;s;y;w;u;w;t;p;k;d;u;f
p;16.87;x;g;n;f;e;c;w;8.07;7.69;s;y;w;u;w;t;p;k;d;u;f
p;15.08;p;g;n;f;e;c;w;8.67;8.14;s;y;w;u;w;t;p;k;d;u;f
p;16.17;x;g;n;f;e;c;w;8.02;6.06;s;y;w;u;w;t;p;k;d;a;f
p;15.3;x;g;n;f;e;c;w;6.86;5.68;s;y;w;u;w;t;p;k;d;a;f
p;15.44;p;g;n;f;e;c;w;8.2;8.18;s;y;w;u;w;t;p;k;d;a;f
p;16.99;x;g;n;f;e;c;w;8.62;8.43;s;y;w;u;w;t;p;k;d;a;f
p;14.05;x;g;n;f;e;c;w;8.06;6.63;s;y;w;u;w;t;p;k;d;a;f
p;16.69;p;g;n;f;e;c;w;8.41;7.72;s;y;w;u;w;t;p;k;d;a;f
p;13.72;x;g;n;f;e;c;w;7.93;6.24;s;y;w;u;w;t;p;k;d;a;f
p;14.5;x;g;n;f;e;c;w;7.79;6.91;s;y;w;u;w;t;p;k;d;a;f
p;17.64;p;g;n;f;e;c;w;9.0;8.21;s;y;w;u;w;t;p;k;d;a;f
p;15.05;p;g;n;f;e;c;w;7.77;7.08;s;y;w;u;w;t;p;k;d;a;f
p;18.2;p;g;n;f;e;c;w;9.54;8.44;s;y;w;u;w;t;p;k;d;a;f
p;14.35;x;g;n;f;e;c;w;7.29;7.27;s;y;w;u;w;t;p;k;d;u;f
p;18.79;p;g;n;f;e;c;w;9.1;8.61;s;y;w;u;w;t;p;k;d;u;f
p;13.51;p;g;n;f;e;c;w;7.96;7.54;s;y;w;u;w;t;p;k;d;a;f
p;15.61;x;g;n;f;e;c;w;8.28;7.92;s;y;w;u;w;t;p;k;d;u;f
p;15.43;x;g;n;f;e;c;w;8.08;7.37;s;y;w;u;w;t;p;k;d;a;f
p;12.2;x;g;n;f;e;c;w;8.23;7.13;s;y;w;u;w;t;p;k;d;a;f
p;14.45;x;g;n;f;e;c;w;8.45;7.84;s;y;w;u;w;t;p;k;d;a;f
p;13.14;p;g;n;f;e;c;w;8.31;7.46;s;y;w;u;w;t;p;k;d;a;f
p;10.67;p;g;n;f;e;c;w;7.03;6.71;s;y;w;u;w;t;p;k;d;u;f
p;16.41;x;g;n;f;e;c;w;8.66;8.49;s;y;w;u;w;t;p;k;d;a;f
p;14.16;x;g;n;f;e;c;w;7.12;6.64;s;y;w;u;w;t;p;k;d;a;f
p;17.1;p;g;n;f;e;c;w;9.29;8.87;s;y;w;u;w;t;p;k;d;a;f
p;13.47;p;g;n;f;e;c;w;7.21;6.58;s;y;w;u;w;t;p;k;d;u;f
p;14.3;x;g;n;f;e;c;w;7.47;6.8;s;y;w;u;w;t;p;k;d;u;f
p;13.71;p;g;n;f;e;c;w;7.77;7.59;s;y;w;u;w;t;p;k;d;a;f
p;14.04;p;g;n;f;e;c;w;7.42;7.41;s;y;w;u;w;t;p;k;d;a;f
p;15.96;x;g;n;f;e;c;w;8.63;7.88;s;y;w;u;w;t;p;k;d;a;f
p;16.01;x;g;n;f;e;c;w;8.74;8.05;s;y;w;u;w;t;p;k;d;a;f
p;13.97;p;g;n;f;e;c;w;7.31;7.26;s;y;w;u;w;t;p;k;d;u;f
p;16.33;p;g;n;f;e;c;w;9.3;9.0;s;y;w;u;w;t;p;k;d;a;f
p;16.05;x;g;n;f;e;c;w;8.78;8.19;s;y;w;u;w;t;p;k;d;a;f
p;16.52;x;g;n;f;e;c;w;7.95;7.74;s;y;w;u;w;t;p;k;d;u;f
p;14.49;x;g;n;f;e;c;w;7.58;7.55;s;y;w;u;w;t;p;k;d;a;f
p;16.27;x;g;n;f;e;c;w;8.65;8.27;s;y;w;u;w;t;p;k;d;a;f
p;13.68;p;g;n;f;e;c;w;7.19;5.81;s;y;w;u;w;t;p;k;d;a;f
p;12.54;p;g;n;f;e;c;w;7.95;7.03;s;y;w;u;w;t;p;k;d;u;f
p;13.83;x;g;n;f;e;c;w;7.51;6.88;s;y;w;u;w;t;p;k;d;u;f
p;12.86;x;g;n;f;e;c;w;8.08;7.19;s;y;w;u;w;t;p;k;d;a;f
p;13.64;p;g;n;f;e;c;w;8.01;7.3;s;y;w;u;w;t;p;k;d;a;f
p;17.31;p;g;n;f;e;c;w;8.63;7.65;s;y;w;u;w;t;p;k;d;u;f
p;11.83;x;g;n;f;e;c;w;7.72;6.28;s;y;w;u;w;t;p;k;d;a;f
p;13.94;p;g;n;f;e;c;w;7.89;7.42;s;y;w;u;w;t;p;k;d;a;f
p;9.92;p;g;n;f;e;c;w;7.46;6.44;s;y;w;u;w;t;p;k;d;a;f
p;15.22;p;g;n;f;e;c;w;8.36;7.65;s;y;w;u;w;t;p;k;d;u;f
p;15.99;x;g;n;f;e;c;w;7.99;7.53;s;y;w;u;w;t;p;k;d;u;f
p;13.47;x;g;n;f;e;c;w;8.31;7.64;s;y;w;u;w;t;p;k;d;a;f
p;16.35;p;g;n;f;e;c;w;8.28;7.36;s;y;w;u;w;t;p;k;d;u;f
p;10.75;p;g;n;f;e;c;w;6.7;6.32;s;y;w;u;w;t;p;k;d;u;f
p;17.98;p;g;n;f;e;c;w;8.87;7.77;s;y;w;u;w;t;p;k;d;a;f
p;11.91;x;g;n;f;e;c;w;7.35;5.18;s;y;w;u;w;t;p;k;d;a;f
p;14.7;x;g;n;f;e;c;w;7.87;6.99;s;y;w;u;w;t;p;k;d;a;f
p;13.45;x;g;n;f;e;c;w;7.75;7.34;s;y;w;u;w;t;p;k;d;u;f
p;13.96;x;g;n;f;e;c;w;7.81;7.65;s;y;w;u;w;t;p;k;d;a;f
p;15.0;p;g;n;f;e;c;w;8.2;6.87;s;y;w;u;w;t;p;k;d;a;f
p;16.19;p;g;n;f;e;c;w;9.08;8.44;s;y;w;u;w;t;p;k;d;a;f
p;12.57;x;g;n;f;e;c;w;7.81;7.78;s;y;w;u;w;t;p;k;d;u;f
